Model,Year,Mileage,Fuel,Gearbox,Horsepower ,Price,Link to advertisement
Volvo V60,2021,6000,0,0,253,339900,https://www.blocket.se/annons/1001232547
Volvo V60,2021,3941,1,0,198,368800,https://www.blocket.se/annons/1000671052
Volvo V60,2021,7185,0,0,340,309900,https://www.blocket.se/annons/1001146185
Volvo V60,2022,5771,2,0,200,374000,https://www.blocket.se/annons/1001249398
Volvo V60,2022,3600,2,0,198,389000,https://www.blocket.se/annons/1001104692
Volvo V60,2022,7739,0,0,344,419900,https://www.blocket.se/annons/1001120276
Volvo V60,2022,8198,2,0,200,359000,https://www.blocket.se/annons/1001247656
Volvo V60,2022,6814,2,0,200,349900,https://www.blocket.se/annons/1001191171
Volvo V60,2022,9624,2,0,198,329900,https://www.blocket.se/annons/1001121521
Volvo V60,2022,6789,2,0,198,344900,https://www.blocket.se/annons/1001096211
Volvo V60,2022,4244,1,0,198,338800,https://www.blocket.se/annons/1001245978
Volvo V60,2022,9850,2,0,198,334000,https://www.blocket.se/annons/1001245371
Volvo V60,2022,5906,2,0,200,349000,https://www.blocket.se/annons/1001245320
Volvo V60,2022,6439,2,0,200,354900,https://www.blocket.se/annons/1001244034
Volvo V60,2022,4645,2,0,200,369000,https://www.blocket.se/annons/1001244031
Volvo V60,2022,4354,1,0,200,314900,https://www.blocket.se/annons/1001242834
Volvo V60,2022,4962,0,0,396,479900,https://www.blocket.se/annons/1000966937
Volvo V60,2022,2257,1,0,165,309900,https://www.blocket.se/annons/1001077979
Volvo V60,2022,4099,0,0,344,429900,https://www.blocket.se/annons/1001242045
Volvo V60,2022,5769,2,0,198,289900,https://www.blocket.se/annons/1001080345
Volvo V60,2022,6153,2,0,200,334800,https://www.blocket.se/annons/1001240907
Volvo V60,2022,7087,2,0,200,349000,https://www.blocket.se/annons/1001240882
Volvo V60,2022,16000,2,0,198,239900,https://www.blocket.se/annons/1001239028
Volvo V60,2022,3800,2,0,200,389900,https://www.blocket.se/annons/1001237489
Volvo V60,2022,7184,0,0,463,599000,https://www.blocket.se/annons/1001237332
Volvo V60,2022,5560,2,0,198,288900,https://www.blocket.se/annons/1001241998
Volvo V60,2022,4317,0,0,340,369500,https://www.blocket.se/annons/1001233098
Volvo V60,2022,5700,0,0,253,359900,https://www.blocket.se/annons/1001233047
Volvo V60,2022,6402,0,0,456,524700,https://www.blocket.se/annons/1001140146
Volvo V60,2022,12813,2,0,198,294800,https://www.blocket.se/annons/1001031094
Volvo V60,2022,3429,2,0,198,408900,https://www.blocket.se/annons/1000569995
Volvo V60,2022,14076,2,0,198,289800,https://www.blocket.se/annons/1001109337
Volvo V60,2022,2558,0,0,340,388900,https://www.blocket.se/annons/1001230103
Volvo V60,2022,4987,0,0,342,386900,https://www.blocket.se/annons/1000952780
Volvo V60,2022,8163,0,0,340,399800,https://www.blocket.se/annons/1001098974
Volvo V60,2022,7676,2,0,200,355900,https://www.blocket.se/annons/1001229017
Volvo V60,2022,6274,0,0,391,429800,https://www.blocket.se/annons/1001174579
Volvo V60,2022,6408,0,0,396,459000,https://www.blocket.se/annons/1001080583
Volvo V60,2022,8503,0,0,404,389900,https://www.blocket.se/annons/1000961409
Volvo V60,2022,8317,1,0,200,299900,https://www.blocket.se/annons/1000894897
Volvo V60,2022,4500,0,0,344,399000,https://www.blocket.se/annons/1000829216
Volvo V60,2022,7646,2,0,198,349000,https://www.blocket.se/annons/1000683219
Volvo V60,2022,4618,1,0,200,309900,https://www.blocket.se/annons/1000722061
Volvo V60,2022,5128,2,0,200,374900,https://www.blocket.se/annons/1001224439
Volvo V60,2022,13445,2,0,198,289900,https://www.blocket.se/annons/1400634895
Volvo V60,2022,4188,0,0,456,599800,https://www.blocket.se/annons/1001135925
